experiment_cohort,day_of_experiment,device_type,gender,region,age,total_artists_last_100_days,minutes_listening_during_experiment,user_id
control,14,mobile,F,west,28.3,108,76.7,204913879
control,14,mobile,F,west,28.7,60,54.8,172893934
treatment,15,mobile,F,west,24.4,91,69,557104221
control,15,mobile,F,west,25.4,67,81.7,473825576
control,15,mobile,F,west,36.6,68,70.8,477470671
control,16,mobile,F,west,20.8,87,39.7,598779327
control,17,mobile,F,west,28.7,170,44.2,292042373
control,17,mobile,F,west,21.9,195,59.1,550956632
control,17,mobile,F,west,38.3,114,41.7,265304162
control,17,mobile,F,west,30.6,70,46.1,369741062
control,18,mobile,F,west,27.7,70,55.5,74869032
control,18,mobile,F,west,22.3,134,47.5,649887379
treatment,19,mobile,F,west,18.1,121,75.5,227973021
treatment,19,mobile,F,west,20.5,135,61.1,295918925
control,20,mobile,F,west,29.8,137,55.6,513766885
control,20,mobile,F,west,44.1,70,58.3,670009691
control,20,mobile,F,west,21.2,101,55,483507903
control,20,mobile,F,west,23.1,44,50.5,688284866
treatment,21,mobile,F,west,27.2,159,85,139023953
control,21,mobile,F,west,21.4,82,53,438730607
treatment,22,mobile,F,west,18.1,100,50.8,84277544
treatment,23,mobile,F,west,27.3,98,84.2,454113288
control,23,mobile,F,west,32.3,32,59.2,127070541
control,23,mobile,F,west,26.2,94,48.3,689946086
control,24,mobile,F,west,19.3,33,63.5,139601370
control,25,mobile,F,west,46,154,47,510835710
control,25,mobile,F,west,43.4,167,37.9,458324989
treatment,26,mobile,F,west,34.2,189,65.3,238866777
treatment,26,mobile,F,west,18.3,68,88.2,540094942
control,26,mobile,F,west,31,70,40.3,203706481
control,27,mobile,F,west,19.3,183,48.3,587905037
control,27,mobile,F,west,44.7,99,65,603742060
treatment,28,mobile,F,west,19.5,65,60.3,198035143
treatment,28,mobile,F,west,60,103,63.7,653444802
control,2,mobile,F,south,31.2,42,68.8,125436920
control,3,mobile,F,south,38.8,164,51.6,568593066
control,4,mobile,F,south,18.4,114,47,402428061
treatment,5,mobile,F,south,33.9,33,43.9,325871157
treatment,5,mobile,F,south,37.8,101,61.3,629473884
treatment,6,mobile,F,south,34.2,73,78.2,475376873
control,6,mobile,F,south,33,117,63.5,204629591
treatment,7,mobile,F,south,37.9,142,99.4,655123082
treatment,8,mobile,F,south,34,148,88.3,624956845
control,8,mobile,F,south,24.2,98,60.7,362603669
treatment,9,mobile,F,south,32.2,51,67.4,505402098
control,9,mobile,F,south,30.4,126,89.2,337923496
control,10,mobile,F,south,22.8,26,53,684700281
control,11,mobile,F,south,21.7,82,58.5,383624823
control,12,mobile,F,south,24.9,104,65.3,621190569
treatment,14,mobile,F,south,25,66,70.9,579172585
treatment,15,mobile,F,south,24.6,96,78.2,284893663
control,15,mobile,F,south,30.1,45,56,487505545
control,15,mobile,F,south,36.5,153,43.7,458583801
control,15,mobile,F,south,27.9,35,47.6,408198294
control,16,mobile,F,south,28.4,56,52.6,433988708
control,16,mobile,F,south,25.7,71,56.9,442221826
control,17,mobile,F,south,48,45,52.5,183404472
control,17,mobile,F,south,20.2,102,60.2,189300251
control,17,mobile,F,south,21.3,66,72.1,385379431
control,17,mobile,F,south,26,189,58.7,573623272
control,17,mobile,F,south,31.2,52,75.8,259822781
treatment,18,mobile,F,south,24.4,70,85.5,207665840
control,18,mobile,F,south,23.5,73,63.3,222675242
treatment,19,mobile,F,south,30.3,87,56.9,684624299
treatment,19,mobile,F,south,31.7,72,78,597756320
treatment,19,mobile,F,south,21.9,102,77.8,423512818
control,19,mobile,F,south,41.9,133,66,152030244
control,19,mobile,F,south,43.5,110,39.5,670836681
control,19,mobile,F,south,32,95,43.6,200339876
treatment,20,mobile,F,south,21.3,40,115.5,152355065
treatment,21,mobile,F,south,35.1,80,80.1,517375233
control,21,mobile,F,south,21.9,143,64.2,429747055
treatment,22,mobile,F,south,25.5,86,59.5,597726929
treatment,22,mobile,F,south,27.1,87,54.2,492454558
control,22,mobile,F,south,23,111,67.1,495738773
treatment,23,mobile,F,south,21.1,99,73.3,575286351
treatment,23,mobile,F,south,48.7,69,69.1,252694155
treatment,23,mobile,F,south,24,163,93.5,521893142
control,23,mobile,F,south,20.8,142,71.1,366000953
control,23,mobile,F,south,27.9,59,40.7,357856133
treatment,24,mobile,F,south,20.6,33,105.3,75492648
control,24,mobile,F,south,20.9,56,58.8,418176441
treatment,26,mobile,F,south,29.5,84,57.6,235799623
treatment,27,mobile,F,south,41.9,86,79.8,130410020
treatment,27,mobile,F,south,21.7,49,74.6,552858526
control,27,mobile,F,south,35.7,98,59,673045843
treatment,28,mobile,F,south,34,33,64.7,256415284
control,28,mobile,F,south,25.6,183,61.7,606194505
control,28,mobile,F,south,19.6,80,58.5,340302882
treatment,1,mobile,F,midwest,20.7,83,73.9,340435526
control,1,mobile,F,midwest,34.2,62,54.6,342885863
treatment,3,mobile,F,midwest,23.1,64,55.3,650859928
treatment,3,mobile,F,midwest,31.3,56,51.5,243652458
treatment,4,mobile,F,midwest,24.2,102,54.1,444179061
control,4,mobile,F,midwest,22.6,112,56.3,392847046
control,4,mobile,F,midwest,22.5,109,58.3,338202435
treatment,5,mobile,F,midwest,29.9,81,86.9,100333818
control,5,mobile,F,midwest,22.4,114,53.8,474831293
control,5,mobile,F,midwest,44.9,102,49,694002093
treatment,6,mobile,F,midwest,24.8,54,95,286949378
treatment,6,mobile,F,midwest,46.4,35,51.6,227238725
control,6,mobile,F,midwest,21.4,109,55.5,537537905
treatment,7,mobile,F,midwest,21.1,108,66.4,679142607
treatment,7,mobile,F,midwest,32.1,104,101.6,708109350
control,7,mobile,F,midwest,29.1,89,55,503429016
treatment,8,mobile,F,midwest,50.4,38,75.8,375300955
control,10,mobile,F,midwest,26.8,90,48.7,326960090
control,11,mobile,F,midwest,30.8,88,57.6,561818220
treatment,12,mobile,F,midwest,37.1,41,73,253083565
treatment,15,mobile,F,midwest,36.1,24,60.9,573498095
treatment,15,mobile,F,midwest,30.9,142,59.9,672406605
treatment,15,mobile,F,midwest,25,59,71.3,620751523
control,15,mobile,F,midwest,27.5,80,54.2,442787565
control,15,mobile,F,midwest,36.8,49,52.8,463441599
control,16,mobile,F,midwest,35.4,150,56.5,678944018
control,17,mobile,F,midwest,31.9,111,77.2,529256797
control,17,mobile,F,midwest,18.5,103,54.8,355118174
control,18,mobile,F,midwest,28.9,64,61.4,123185249
control,21,mobile,F,midwest,22.3,91,84.1,638417268
treatment,22,mobile,F,midwest,25.6,57,91.1,331997532
control,24,mobile,F,midwest,30.4,143,56.8,308606532
treatment,26,mobile,F,midwest,41.9,42,78.4,268944791
treatment,26,mobile,F,midwest,24.2,55,80.3,571938365
control,26,mobile,F,midwest,35.3,123,47.2,148914467
control,26,mobile,F,midwest,25.8,183,51.3,138962591
control,26,mobile,F,midwest,30.1,170,49.3,131073022
control,27,mobile,F,midwest,44.2,105,51.1,415320183
control,27,mobile,F,midwest,19.3,191,61.3,377216415
control,27,mobile,F,midwest,22.2,134,60.1,180080175
control,27,mobile,F,midwest,38,75,63.8,694885293
treatment,1,mobile,F,northeast,29.4,101,102.5,649982221
treatment,1,mobile,F,northeast,19,76,80.2,200940441
control,1,mobile,F,northeast,38.8,145,59.2,486784664
control,1,mobile,F,northeast,19.8,63,56.1,450245440
treatment,2,mobile,F,northeast,23.3,48,64.8,195749690
treatment,2,mobile,F,northeast,25.5,124,73.4,312797772
control,2,mobile,F,northeast,33.6,17,34.3,593310360
control,2,mobile,F,northeast,35.5,128,53.8,158774016
control,3,mobile,F,northeast,35.8,84,64.4,292998772
control,3,mobile,F,northeast,23.6,63,55.4,675369006
treatment,4,mobile,F,northeast,24.1,169,58.6,367392201
treatment,4,mobile,F,northeast,102,89,97.5,443021604
treatment,4,mobile,F,northeast,20,127,96.1,225146511
treatment,4,mobile,F,northeast,29,133,60.8,234868077
control,4,mobile,F,northeast,32.9,32,66.2,358190856
control,4,mobile,F,northeast,33.9,70,63.5,320821765
treatment,5,mobile,F,northeast,35.3,136,82.3,375617376
treatment,6,mobile,F,northeast,32.1,88,65.5,574575761
treatment,6,mobile,F,northeast,24,108,55.4,353109690
control,6,mobile,F,northeast,23.3,30,69.9,312388011
control,7,mobile,F,northeast,28.1,158,51.6,144383641
treatment,8,mobile,F,northeast,22.9,85,63.6,412468882
treatment,8,mobile,F,northeast,31.9,34,77.7,597724993
treatment,8,mobile,F,northeast,36.6,63,102.4,80981148
control,8,mobile,F,northeast,33.9,112,55.1,506505864
control,8,mobile,F,northeast,37,163,65.1,657394090
control,8,mobile,F,northeast,26,204,76.2,581946728
treatment,9,mobile,F,northeast,29.9,87,76.2,618900239
control,9,mobile,F,northeast,22.9,108,53.2,484874240
control,10,mobile,F,northeast,32,151,44.4,450861791
control,11,mobile,F,northeast,20.9,54,79.8,264977227
treatment,12,mobile,F,northeast,29.1,44,66.8,306190022
control,12,mobile,F,northeast,31.2,90,48.5,181521721
control,12,mobile,F,northeast,40.1,137,61,212328792
control,13,mobile,F,northeast,34.6,82,42,107030614
control,13,mobile,F,northeast,40.3,70,65,107194456
treatment,14,mobile,F,northeast,29,110,91.4,441744885
control,14,mobile,F,northeast,26.5,78,48.9,204971860
control,14,mobile,F,northeast,30.8,91,48.5,418229015
control,14,mobile,F,northeast,39.5,46,50.3,316691625
treatment,15,mobile,F,northeast,33.2,87,74.4,239803327
control,15,mobile,F,northeast,25.6,85,62.5,425891975
control,15,mobile,F,northeast,18.8,67,38.5,336080764
treatment,17,mobile,F,northeast,28.5,78,69.2,340272115
control,17,mobile,F,northeast,22.6,82,64.6,312385103
treatment,18,mobile,F,northeast,40.7,94,82.8,703746029
control,18,mobile,F,northeast,19.1,102,68.6,130822978
control,18,mobile,F,northeast,29,102,81,452081866
control,18,mobile,F,northeast,38.7,186,71.3,378648506
control,18,mobile,F,northeast,24.2,134,45.8,583415491
treatment,19,mobile,F,northeast,28.5,61,72.3,123277958
treatment,19,mobile,F,northeast,36.3,43,72.5,348992369
treatment,21,mobile,F,northeast,29.6,49,76.7,236922742
treatment,21,mobile,F,northeast,25.7,43,93.2,514107108
treatment,21,mobile,F,northeast,21.3,151,111.9,660997657
treatment,21,mobile,F,northeast,29.1,60,113.9,431925643
treatment,21,mobile,F,northeast,27.1,51,50.8,437051098
control,22,mobile,F,northeast,25.7,56,47.1,598025394
treatment,23,mobile,F,northeast,22.9,44,80.1,543288207
treatment,23,mobile,F,northeast,24.2,63,66.9,388162799
treatment,23,mobile,F,northeast,34.8,176,91.9,236881293
treatment,23,mobile,F,northeast,23.2,66,55.3,415148097
control,23,mobile,F,northeast,18.7,132,53.4,570978010
treatment,24,mobile,F,northeast,38.9,97,66.9,243109438
control,24,mobile,F,northeast,52,45,62,676851428
treatment,26,mobile,F,northeast,39,37,68.3,626049645
control,26,mobile,F,northeast,24.3,86,71.2,292877389
control,26,mobile,F,northeast,24.9,28,46.1,444164531
control,26,mobile,F,northeast,28,160,78.8,554430051
control,26,mobile,F,northeast,19.9,111,50.2,685859573
control,27,mobile,F,northeast,26.3,122,53,460608276
control,27,mobile,F,northeast,27.4,68,56.1,495775746
control,28,mobile,F,northeast,24.9,41,58.2,504463490
treatment,1,mobile,F,west,39.5,52,95.5,618428577
control,2,mobile,F,west,29.8,125,59,117782443
treatment,3,mobile,F,west,27.8,115,58.1,220983818
control,3,mobile,F,west,25.2,57,49.4,173140134
control,3,mobile,F,west,36,39,54.4,501621887
control,3,mobile,F,west,37.8,92,51.6,376349996
control,3,mobile,F,west,19.8,97,59.9,449465099
control,3,mobile,F,west,28,150,37.2,464775489
control,4,mobile,F,west,22.8,142,51.5,203604758
control,5,mobile,F,west,22.4,108,20.4,213581752
control,5,mobile,F,west,33.9,85,59.1,355525383
control,5,mobile,F,west,19.8,35,59.6,337882214
treatment,6,mobile,F,west,31.9,110,69.6,610163196
treatment,6,mobile,F,west,27.1,45,76.4,187098590
control,6,mobile,F,west,26.2,44,47.4,408368781
control,6,mobile,F,west,33.7,81,45.2,133660409
control,6,mobile,F,west,39.2,141,70,449178712
treatment,7,mobile,F,west,20.6,95,61.8,566945787
treatment,8,mobile,F,west,28.7,50,90.9,530041235
treatment,8,mobile,F,west,34.1,51,94.6,349299570
treatment,8,mobile,F,west,25.7,54,71.7,635756808
treatment,8,mobile,F,west,20.5,98,42,264064934
control,8,mobile,F,west,19.2,38,55.8,562698622
control,8,mobile,F,west,25.5,50,61.2,524939906
control,8,mobile,F,west,20.7,48,58.9,424747175
treatment,9,mobile,F,west,21.8,65,78,603438369
treatment,9,mobile,F,west,31.9,142,73.7,431490954
control,10,mobile,F,west,26.8,57,81.9,387383914
control,10,mobile,F,west,32.5,76,58.1,537308925
control,10,mobile,F,west,52.6,117,61.4,275609034
treatment,11,mobile,F,west,37.9,93,61.8,159947793
control,11,mobile,F,west,33,87,78.3,248707454
control,11,mobile,F,west,27.4,97,35.9,413668055
treatment,14,mobile,F,west,52.9,81,92.4,275695862
treatment,14,mobile,F,west,23.3,54,88.3,573298317
treatment,14,mobile,F,west,30.8,73,53.6,246509094
treatment,15,mobile,F,west,46.8,146,73.7,660635164
control,15,mobile,F,west,19.1,118,63.1,290081567
control,15,mobile,F,west,41.4,142,57.3,464653368
control,16,mobile,F,west,35.2,80,56.1,208401891
treatment,17,mobile,F,west,42.7,65,54,298081926
control,18,mobile,F,west,31.4,125,50.4,584614972
treatment,19,mobile,F,west,27.4,130,94.2,656815134
control,19,mobile,F,west,21.3,25,53.4,630544310
treatment,20,mobile,F,west,45,79,75.8,85392835
treatment,20,mobile,F,west,37,95,93.3,553394463
control,20,mobile,F,west,21.2,128,65.6,259025424
control,20,mobile,F,west,21.5,99,57.8,307577408
control,20,mobile,F,west,20,195,60.2,483696621
treatment,21,mobile,F,west,21,23,57.6,144714786
treatment,21,mobile,F,west,38.2,31,62.7,224558001
control,21,mobile,F,west,35.3,84,54.5,123373895
control,21,mobile,F,west,27.9,53,46.2,579274939
control,22,mobile,F,west,31.2,50,63.8,565185983
control,23,mobile,F,west,22,117,54.9,235115189
control,24,mobile,F,west,36.5,53,48.2,454333411
control,24,mobile,F,west,23.9,51,40.3,300345366
treatment,25,mobile,F,west,24.6,88,65.5,341529352
control,25,mobile,F,west,32.4,189,57.5,73814280
treatment,26,mobile,F,west,25.8,53,70.1,455231849
control,26,mobile,F,west,19.2,82,50,429253538
control,26,mobile,F,west,23.2,65,40.7,166092163
control,27,mobile,F,west,22.3,103,56.9,101704891
control,27,mobile,F,west,24.8,78,59.8,685948685
control,27,mobile,F,west,24.6,41,56.1,99832061
control,28,mobile,F,west,29.9,148,55,588231202
treatment,1,mobile,F,south,38.1,91,78.2,430679687
treatment,1,mobile,F,south,18.2,50,52.2,214914340
control,1,mobile,F,south,23.4,97,41.2,536842173
treatment,2,mobile,F,south,22.1,86,80,657951874
treatment,2,mobile,F,south,25.6,70,115,190523882
treatment,3,mobile,F,south,32.2,127,75.8,666225702
treatment,3,mobile,F,south,20.4,111,66.8,630030764
treatment,3,mobile,F,south,44.9,86,69.9,709229889
control,3,mobile,F,south,23.1,52,71.5,202078177
control,3,mobile,F,south,24.4,82,62.1,705552258
treatment,4,mobile,F,south,18.5,34,91,613831227
control,4,mobile,F,south,37.3,94,49,667927754
treatment,6,mobile,F,south,37.8,130,57.1,450730724
treatment,8,mobile,F,south,36.3,103,77.8,646988490
control,8,mobile,F,south,23,23,54,119711044
treatment,9,mobile,F,south,30.2,32,88.2,499887810
control,9,mobile,F,south,27,23,42.2,146213238
control,11,mobile,F,south,19.7,111,51.1,678924398
control,11,mobile,F,south,30.7,134,48.5,498861514
treatment,12,mobile,F,south,34.4,87,87.6,633269262
control,12,mobile,F,south,30.8,50,63.6,112196952
treatment,15,mobile,F,south,23.5,80,86.5,455597660
treatment,15,mobile,F,south,35.4,57,62.3,623602983
treatment,15,mobile,F,south,33.8,74,69.2,188373960
control,15,mobile,F,south,29.8,92,68.8,473697201
control,15,mobile,F,south,40.4,74,68.6,398198341
treatment,16,mobile,F,south,36.6,111,93.9,401117554
treatment,16,mobile,F,south,24.7,254,78.9,309768314
treatment,17,mobile,F,south,20.2,77,79.2,430800025
control,17,mobile,F,south,35,46,65,224118489
control,17,mobile,F,south,34.5,20,58.3,519197856
control,17,mobile,F,south,18.7,50,57.2,650279757
control,17,mobile,F,south,18.4,67,40.6,327127317
treatment,19,mobile,F,south,23.6,74,62.2,223260018
treatment,19,mobile,F,south,26.4,55,49.9,602234826
control,19,mobile,F,south,28.5,87,77.3,440000984
control,19,mobile,F,south,23.5,67,39.1,694107535
control,19,mobile,F,south,34.1,95,55.8,212538011
control,20,mobile,F,south,46.6,81,51.3,135224554
control,20,mobile,F,south,42.7,70,44.6,308076024
control,21,mobile,F,south,29.4,74,65.9,303007496
control,21,mobile,F,south,20.4,64,59.9,548964495
treatment,22,mobile,F,south,31.5,33,84.1,383070612
control,22,mobile,F,south,29.6,32,63.8,585421566
control,22,mobile,F,south,25.3,58,55.5,276319078
control,22,mobile,F,south,34.8,54,50,255493426
treatment,23,mobile,F,south,30.1,66,74.4,364338395
treatment,23,mobile,F,south,46.1,73,61.4,359466093
treatment,23,mobile,F,south,21.4,96,80.5,205550895
control,23,mobile,F,south,34.2,61,50.3,315637504
treatment,24,mobile,F,south,24.6,57,59.3,674649659
control,24,mobile,F,south,42.6,50,55.7,101771421
control,24,mobile,F,south,18.3,127,60.3,508078000
control,24,mobile,F,south,35.6,279,52.5,637736929
control,25,mobile,F,south,33.4,81,54.8,129176687
control,25,mobile,F,south,33.7,63,73.9,430844676
control,25,mobile,F,south,19.2,123,56.2,645289828
control,26,mobile,F,south,23.7,156,66.5,353178851
control,26,mobile,F,south,23,90,73.9,443447009
treatment,28,mobile,F,south,22.5,27,70.3,435012277
control,28,mobile,F,south,25.7,71,42.5,440568588
control,28,mobile,F,south,22.2,118,62.4,351894638
control,1,mobile,F,midwest,34.4,104,67.2,525387562
control,2,mobile,F,midwest,22.5,104,51.8,494143500
treatment,3,mobile,F,midwest,32.4,49,47.4,266351463
control,3,mobile,F,midwest,41.1,47,59.6,324017152
control,3,mobile,F,midwest,28.6,56,54.8,652581042
treatment,5,mobile,F,midwest,37,60,86.1,108174496
control,5,mobile,F,midwest,33.5,37,79.6,150675463
control,7,mobile,F,midwest,24.5,71,55.8,223669640
control,7,mobile,F,midwest,43.7,50,43.2,584173797
treatment,8,mobile,F,midwest,19.9,41,79.9,465496177
control,8,mobile,F,midwest,27.3,69,52.2,132658829
control,9,mobile,F,midwest,27.1,126,61.7,516047273
treatment,10,mobile,F,midwest,34.4,90,46,704148796
treatment,10,mobile,F,midwest,20.7,66,117.3,643199454
control,10,mobile,F,midwest,22.8,41,51.5,458832190
treatment,11,mobile,F,midwest,40.4,48,107.8,448574605
control,11,mobile,F,midwest,33.7,41,60.2,110955268
treatment,12,mobile,F,midwest,24.6,150,88.2,588027512
control,12,mobile,F,midwest,19.7,64,62.7,597470172
treatment,13,mobile,F,midwest,29.9,61,73,135083969
control,13,mobile,F,midwest,25.5,98,39.5,315447045
control,14,mobile,F,midwest,22.1,31,63.8,473225067
control,14,mobile,F,midwest,22.4,66,53.2,247258016
treatment,15,mobile,F,midwest,23.3,81,68.5,141643438
treatment,16,mobile,F,midwest,19.3,153,63.8,611996528
treatment,16,mobile,F,midwest,28.5,77,84.6,599832030
control,16,mobile,F,midwest,22.1,89,60.2,460916997
control,17,mobile,F,midwest,33.7,23,56.4,582864325
control,19,mobile,F,midwest,33.2,110,59.7,225792160
treatment,21,mobile,F,midwest,25.7,117,96.2,582612712
treatment,22,mobile,F,midwest,32.7,74,69.1,600619039
treatment,22,mobile,F,midwest,25.4,42,80.2,336930640
treatment,23,mobile,F,midwest,22.5,212,86,142037373
treatment,25,mobile,F,midwest,35.2,106,96.4,341580652
control,25,mobile,F,midwest,37.8,83,42.4,119759162
control,25,mobile,F,midwest,28.1,81,53.9,296684711
control,26,mobile,F,midwest,20.2,188,96.7,163182912
treatment,27,mobile,F,midwest,30,141,72.6,551496063
treatment,27,mobile,F,midwest,21.9,112,74.6,147158489
control,27,mobile,F,midwest,32.6,104,59,272992490
control,28,mobile,F,midwest,29,102,53.5,186320972
control,28,mobile,F,midwest,26.5,47,42.2,558437565
treatment,1,mobile,F,northeast,47.4,143,64.3,264733987
treatment,1,mobile,F,northeast,41.8,87,79.9,695594714
control,1,mobile,F,northeast,21.5,64,43.5,248283141
control,1,mobile,F,northeast,34,35,56.3,640148953
treatment,2,mobile,F,northeast,24.9,114,72.9,563652472
control,2,mobile,F,northeast,37.4,35,59.7,541637464
treatment,3,mobile,F,northeast,35.9,75,78.4,675368098
control,3,mobile,F,northeast,45.5,88,70.3,627297019
